,muon_pt0,muon_pt1,muon_pt2,muon_pt3,muon_phi0,muon_phi1,muon_phi2,muon_phi3
73,124.99473,50.391396,46.702183,33.77504,-1.1174973,-1.3302988,-1.1935819,-1.6409254
74,38.190353,36.196835,35.40666,29.644157,-1.9259897,3.0978117,1.8799161,2.5085921
75,105.767136,95.41557,55.745068,,-0.5021124,-0.0909011,-0.5617616,
76,56.83779,52.068127,40.295704,39.646847,1.1918851,1.5257299,1.5358518,2.2379298
77,54.55356,41.484943,31.730059,30.080603,0.07011997,-0.8494174,0.3534069,-1.1039611
78,73.45675,73.24204,65.41924,,-0.13119721,-0.13825366,0.2924342,
79,47.8589,43.74661,32.214207,31.503584,2.5233872,1.9881904,-2.3010788,-2.1223974
80,108.43971,65.20271,34.939285,,-0.17725626,0.28060988,-0.15884097,
81,128.11885,88.40557,60.83659,30.845747,-1.8151869,-1.3133777,-1.7901039,-2.4509916
82,55.763367,42.732533,41.30437,37.79338,-2.9815185,2.1553483,1.4377259,1.835723
83,50.633324,40.385532,29.470634,,0.6988942,-0.008590971,1.7456203,
84,112.164345,62.14198,35.720184,32.470634,0.68450946,0.4931799,0.2543288,0.413617
85,96.82901,49.99311,42.163536,34.171494,2.993018,3.0860386,2.6541734,1.45406
86,80.222565,51.02298,41.793686,,-1.2515371,-1.8262516,-1.6077532,
87,52.38845,31.904392,28.121878,,0.86685944,1.652794,1.6992854,
88,78.92562,48.74252,31.884083,,-0.29634288,-1.246311,-0.06191033,
89,148.23903,64.71299,60.009815,,-2.1972232,-1.6644593,-1.9508473,
90,50.08498,46.361,42.269146,37.740005,1.1192296,0.8820188,2.0348587,-0.123734385
91,66.74082,47.915577,35.722008,35.559982,2.4098551,-2.36152,-2.6490557,2.8833766
92,83.540054,54.707294,53.060345,35.590206,2.864538,-3.1349924,-2.9213293,2.568017
93,57.337475,49.56986,40.708492,30.925392,-2.7463179,-2.0760305,-2.4214962,-1.0150374
94,44.80797,38.510895,36.152172,33.237164,1.0221539,1.6569958,-3.1153364,0.85529983
95,63.10616,50.225075,48.95571,28.697723,-1.8859531,-0.46823514,-2.0244322,-1.1845473
96,105.01241,61.87371,37.43718,33.526535,-3.0054893,-1.8638103,-3.0688806,-2.3181057
97,68.32036,38.980408,31.081852,31.072271,-0.67750657,-0.49106157,-1.0815746,-0.2805197
98,113.31592,66.79246,48.334854,35.97282,-2.372241,-1.8110586,-3.0749412,-2.3964713
99,91.770996,43.39915,38.048252,33.656918,2.8692603,2.1587772,1.846222,2.7163577
100,115.50317,42.318153,41.08992,33.24482,-0.29503605,-0.96144664,-1.1161331,-1.3139335
101,65.83463,48.242363,39.3152,,-2.076382,-3.0315502,-2.8303041,
102,71.80561,69.35134,57.158844,54.00232,-1.058746,-1.2635968,-1.0905775,-1.791316
103,75.36881,69.45424,53.169617,41.529068,-2.6395838,2.789801,-2.548623,-2.1380324
104,76.847755,41.573997,41.2443,,-2.5604687,-2.2834215,-2.9263077,
105,102.43404,60.64918,38.56977,38.239758,2.9471579,-3.105567,-2.894929,-1.7648773
106,43.385334,39.235687,37.58273,,0.02783451,-0.43258372,1.9793212,
107,162.80006,60.4719,43.294025,,2.2774785,3.131435,2.8824599,
108,61.076748,50.000584,33.728447,,0.20498051,0.051725194,0.63064635,
109,51.48727,42.199883,36.7234,33.90927,-2.4296074,-1.7193316,-0.49796325,-1.4813648
110,95.384964,57.651653,52.861015,44.294086,2.7018263,3.1231527,-2.559089,3.078556
111,173.2924,31.909353,,,1.0023685,1.2594147,,
112,168.25763,35.374226,33.966805,32.19766,3.0470645,-3.123092,2.3110461,2.545494
113,52.458237,44.679863,31.43865,,-1.6355994,-0.42316636,-1.3572663,
114,56.24253,46.70023,45.27111,34.905273,-2.8353508,2.7130198,1.857986,3.095722
115,94.17781,42.983955,40.205067,30.173824,-2.6298647,-2.3754928,-1.734193,-2.0402942
116,168.3532,48.506454,44.58653,40.938892,2.465235,3.0889804,2.4741771,3.0806098
117,88.8327,47.53589,38.110424,,0.68764126,0.7058404,0.9215214,
118,52.04847,46.626274,35.10178,30.59232,1.8877472,1.5559528,1.9939897,-2.4589603
